sym,ADV,ADTV,avg_volatility,spread_bps,quote_size
000001.SZSE,83889020.77272727,1581009245.5415726,0.016182633849620407,6.95041141036503,34538.73073470713
600030.SHSE,95440326.77272727,2799016485.939545,0.014479341689408617,4.113956367224639,45340.87304615384
