sym,date,time,intraday_volatility,spread_bps,qsize,volpct
000001.SZSE,2020-12-02 00:00:00,2025-02-19 09:30:00,0.021098199351886657,12.176891044056859,14577.685,0.05320553193603904
000001.SZSE,2020-12-02 00:00:00,2025-02-19 09:35:00,0.019218318939623967,10.268961474824769,13264.77,0.06970782159811269
000001.SZSE,2020-12-02 00:00:00,2025-02-19 09:40:00,0.020485504766102797,12.23976216718189,13992.22,0.05169377551000893
000001.SZSE,2020-12-02 00:00:00,2025-02-19 09:45:00,0.017173929537666704,9.013069972735778,14283.255,0.03362976925415039
000001.SZSE,2020-12-02 00:00:00,2025-02-19 09:50:00,0.014172801676271466,8.47274557890879,12821.655,0.027269639700400493
000001.SZSE,2020-12-02 00:00:00,2025-02-19 09:55:00,0.012761625907809217,8.710492256300505,18266.865,0.02660602059278259
000001.SZSE,2020-12-02 00:00:00,2025-02-19 10:00:00,0.01649824960820404,10.971793749970988,15148.525,0.02434368730128964
000001.SZSE,2020-12-02 00:00:00,2025-02-19 10:05:00,0.012272716528811015,7.068720610703383,18176.265,0.017689165194228567
000001.SZSE,2020-12-02 00:00:00,2025-02-19 10:10:00,0.010679638890963336,6.795184107132338,25832.93,0.019374345027736953
000001.SZSE,2020-12-02 00:00:00,2025-02-19 10:15:00,0.00888312710289618,6.241662378714344,51282.54,0.01583678041155211
000001.SZSE,2020-12-02 00:00:00,2025-02-19 10:20:00,0.011270436987360112,7.210976241102316,9539.885,0.012494784072367465
000001.SZSE,2020-12-02 00:00:00,2025-02-19 10:25:00,0.009298300793159268,7.350772932780209,11134.83,0.015606082318810314
000001.SZSE,2020-12-02 00:00:00,2025-02-19 10:30:00,0.008018985554643351,6.301613305057143,11828.605,0.010477598960193244
000001.SZSE,2020-12-02 00:00:00,2025-02-19 10:35:00,0.010971388041881672,8.168447585629487,19520.325,0.009027736326049158
000001.SZSE,2020-12-02 00:00:00,2025-02-19 10:40:00,0.009332649539411157,8.590162300403232,9313.645,0.012165843285746582
000001.SZSE,2020-12-02 00:00:00,2025-02-19 10:45:00,0.010343940551758623,8.18796117882751,11065.75,0.011918469435198123
000001.SZSE,2020-12-02 00:00:00,2025-02-19 10:50:00,0.01327917951980382,8.904725873066546,10294.04,0.02023274951292751
000001.SZSE,2020-12-02 00:00:00,2025-02-19 10:55:00,0.010139520827999895,7.408789227631307,19718.96,0.019741435385034246
000001.SZSE,2020-12-02 00:00:00,2025-02-19 11:00:00,0.010512404239974824,8.579656206271368,7508.385,0.016326226765096808
000001.SZSE,2020-12-02 00:00:00,2025-02-19 11:05:00,0.011674863661203613,7.659554676192354,18630.31,0.009338580951616268
000001.SZSE,2020-12-02 00:00:00,2025-02-19 11:10:00,0.011426923880802256,7.549905086380645,14563.1,0.01320168633405095
000001.SZSE,2020-12-02 00:00:00,2025-02-19 11:15:00,0.009194916615858844,6.093347265563251,16335.92,0.005917634797302697
000001.SZSE,2020-12-02 00:00:00,2025-02-19 11:20:00,0.011888011807772466,7.947038537317232,7415.57,0.009877103914990365
000001.SZSE,2020-12-02 00:00:00,2025-02-19 11:25:00,0.009093259772434,5.949505916617483,19640.585,0.006071407429149643
000001.SZSE,2020-12-02 00:00:00,2025-02-19 11:30:00,,4.958690104407094,7193.0,4.4737110145304006e-06
000001.SZSE,2020-12-02 00:00:00,2025-02-19 13:00:00,0.006419287614319129,5.33087856928514,32687.17,0.019240323830019158
000001.SZSE,2020-12-02 00:00:00,2025-02-19 13:05:00,0.005917079554352611,5.282749064400527,37385.015,0.01059822139342252
000001.SZSE,2020-12-02 00:00:00,2025-02-19 13:10:00,0.006789867971298884,5.379426980010273,36545.51,0.018832779940872974
000001.SZSE,2020-12-02 00:00:00,2025-02-19 13:15:00,0.007074343455449166,5.784314685803704,29811.56,0.012344937121935769
000001.SZSE,2020-12-02 00:00:00,2025-02-19 13:20:00,0.008952838376414302,5.6370138111116965,51602.59,0.017688572427519145
000001.SZSE,2020-12-02 00:00:00,2025-02-19 13:25:00,0.0057584363086822365,5.199741326185856,122505.97,0.038641376912512855
000001.SZSE,2020-12-02 00:00:00,2025-02-19 13:30:00,0.008219264072229693,5.708215168314829,31712.375,0.02536370459688011
000001.SZSE,2020-12-02 00:00:00,2025-02-19 13:35:00,0.009652117286378412,6.166030574509538,18874.64,0.013219413413946026
000001.SZSE,2020-12-02 00:00:00,2025-02-19 13:40:00,0.0063086490352080755,5.363589683313409,21286.005,0.012186388803580812
000001.SZSE,2020-12-02 00:00:00,2025-02-19 13:45:00,0.005093312830462497,5.148703061925599,30600.85,0.01614241316378729
000001.SZSE,2020-12-02 00:00:00,2025-02-19 13:50:00,0.0069802104951604,5.332854631619787,37387.385,0.0290889413901245
000001.SZSE,2020-12-02 00:00:00,2025-02-19 13:55:00,0.01381862784190449,7.763501380628014,21553.76,0.023775738503717468
000001.SZSE,2020-12-02 00:00:00,2025-02-19 14:00:00,0.011326325402010453,7.064361901750209,26898.0,0.01986372427561643
000001.SZSE,2020-12-02 00:00:00,2025-02-19 14:05:00,0.011718146961210553,8.362926632939443,13897.8,0.020046699056110725
000001.SZSE,2020-12-02 00:00:00,2025-02-19 14:10:00,0.008261405068200793,5.65327212903479,26094.5,0.01944610335241002
000001.SZSE,2020-12-02 00:00:00,2025-02-19 14:15:00,0.01786270077768712,9.599785208809044,15964.0,0.01849096605080778
000001.SZSE,2020-12-02 00:00:00,2025-02-19 14:20:00,0.01790008729688309,10.362264485752446,16131.5,0.02238309463344923
